Origin_Port,Destination_Port,Predicted_Lead_Time
Singapore,Dubai,20.00383
Rotterdam,Antwerp,29.232336
Shanghai,Busan,1.0400052
Rotterdam,Antwerp,6.0171356
Rotterdam,Antwerp,1.4255902
Rotterdam,Dubai,9.874638
Antwerp,Rotterdam,0.70355797
Singapore,Antwerp,48.691143
Rotterdam,Hamburg,1.1179057
Rotterdam,Shanghai,2.867902
Hamburg,Rotterdam,7.2691336
Antwerp,Busan,44.274837
Antwerp,Dubai,8.43768
Busan,Los Angeles,0.8337714
Shanghai,Marseille,1.1000631
Busan,Antwerp,14.32015
Singapore,Busan,0.20947024
Singapore,Antwerp,20.875977
Rotterdam,Busan,6.067443
Hamburg,Antwerp,14.884027
Singapore,Los Angeles,53.15726
Hamburg,Antwerp,7.9237404
Los Angeles,Antwerp,14.537931
Shanghai,Rotterdam,1.0820551
Shanghai,Los Angeles,0.91372114
Antwerp,Busan,1.2988094
Dubai,Los Angeles,0.8275773
Busan,Rotterdam,6.279603
Busan,Hamburg,5.5909033
Shanghai,Dubai,0.28219798
Antwerp,Busan,16.598816
Rotterdam,Singapore,93.298546
Antwerp,Shanghai,0.6740649
Shanghai,Los Angeles,33.81731
Busan,Rotterdam,92.11797
Shanghai,Rotterdam,19.569796
Antwerp,Hamburg,5.991276
Busan,Antwerp,5.7526674
Rotterdam,Marseille,41.956226
Los Angeles,Antwerp,12.941098
Shanghai,Dubai,1.2053815
Hamburg,Rotterdam,95.96341
Antwerp,Singapore,0.32150623
Antwerp,Marseille,44.884808
Los Angeles,Busan,5.4434347
Antwerp,Shanghai,54.638634
Dubai,Marseille,29.94329
Antwerp,Marseille,28.036572
Busan,Shanghai,0.8025408
Rotterdam,Dubai,63.84081
Los Angeles,Busan,4.725217
Shanghai,Antwerp,8.057813
Hamburg,Dubai,22.638338
Singapore,Busan,32.13413
Shanghai,Busan,7.9426117
Busan,Hamburg,0.5400856
Busan,Singapore,12.167993
Singapore,Rotterdam,1.5953695
Antwerp,Marseille,16.89637
Los Angeles,Singapore,6.8904552
Dubai,Busan,72.09303
Antwerp,Los Angeles,1.5319185
Singapore,Busan,0.7847016
Hamburg,Los Angeles,2.3611684
Busan,Shanghai,3.6357152
Shanghai,Antwerp,3.1941986
Shanghai,Marseille,14.09375
Busan,Shanghai,0.4556118
Los Angeles,Rotterdam,27.85497
Rotterdam,Busan,23.961157
Shanghai,Marseille,0.8812243
Rotterdam,Dubai,34.363285
Los Angeles,Shanghai,87.22202
Busan,Rotterdam,2.2447507
Shanghai,Marseille,13.591984
Los Angeles,Rotterdam,9.466812
Rotterdam,Shanghai,29.702639
Hamburg,Los Angeles,43.69845
Hamburg,Busan,31.508707
Los Angeles,Hamburg,0.69786763
Rotterdam,Dubai,0.21788415
Shanghai,Antwerp,9.856183
Los Angeles,Singapore,8.926877
Singapore,Marseille,7.4991984
Singapore,Shanghai,0.51562995
Busan,Rotterdam,0.2657577
Busan,Antwerp,9.5796585
Hamburg,Rotterdam,2.5379775
Dubai,Busan,24.625395
Dubai,Hamburg,0.17062421
Shanghai,Marseille,1.2887971
Shanghai,Marseille,0.5063761
Rotterdam,Busan,14.5717125
Los Angeles,Busan,45.039825
Singapore,Shanghai,26.723124
Dubai,Hamburg,11.193929
Hamburg,Singapore,25.59596
Shanghai,Marseille,15.6050005
Singapore,Dubai,74.84496
Singapore,Antwerp,1.721231
Singapore,Marseille,18.474493
Busan,Shanghai,27.12244
Los Angeles,Busan,0.6312202
Antwerp,Busan,7.741663
Los Angeles,Hamburg,0.5737425
Dubai,Busan,1.13926
Dubai,Antwerp,0.6028253
Shanghai,Hamburg,16.334827
Busan,Marseille,2.7031946
Singapore,Busan,0.50447065
Busan,Antwerp,26.78555
Rotterdam,Shanghai,13.853431
Shanghai,Busan,1.2256173
Busan,Los Angeles,19.14621
Dubai,Singapore,0.82350177
Hamburg,Rotterdam,135.17444
Singapore,Shanghai,7.996141
Shanghai,Marseille,0.5422591
Shanghai,Rotterdam,15.647348
Shanghai,Dubai,8.116559
Busan,Los Angeles,36.779068
Dubai,Shanghai,11.499533
Hamburg,Shanghai,39.910904
Dubai,Antwerp,32.136616
Rotterdam,Dubai,0.4434317
Busan,Antwerp,33.633656
Busan,Shanghai,10.164356
Rotterdam,Singapore,20.07354
Rotterdam,Shanghai,4.6637955
Busan,Singapore,10.573845
Shanghai,Singapore,29.854204
Singapore,Dubai,0.5690445
Antwerp,Marseille,4.849145
Shanghai,Marseille,26.474184
Hamburg,Dubai,1.8651001
Busan,Marseille,1.206575
Antwerp,Singapore,1.3601362
Antwerp,Shanghai,117.18995
Rotterdam,Antwerp,31.270119
Shanghai,Los Angeles,12.578949
Singapore,Antwerp,182.70401
Shanghai,Busan,32.20091
Rotterdam,Busan,5.6943874
Busan,Hamburg,77.79416
Shanghai,Antwerp,2.5308988
Shanghai,Marseille,7.3728805
Antwerp,Busan,15.228242
Los Angeles,Shanghai,5.432379
Rotterdam,Singapore,5.4412704
Los Angeles,Antwerp,1.0881022
Hamburg,Antwerp,1.0793389
Rotterdam,Shanghai,15.159192
Los Angeles,Antwerp,0.4069168
Shanghai,Marseille,9.52089
Antwerp,Busan,9.398084
Dubai,Marseille,0.6291596
Singapore,Hamburg,2.5936582
Shanghai,Singapore,3.5796728
Singapore,Dubai,0.67183244
Singapore,Antwerp,30.476067
